"id" "id_2" "W2mean" "Sl2mean" "NDVI2mean" "x" "y" "site" "PredReg"
"83" 1439 1 330245.061602011 57.3583717720719 0.286035976466264 23308.565686 197900.204558 "a" 5.74714415765144e-05
"84" 1440 1 339423.786620403 52.3994898442838 0.250525201758316 23309.065686 197900.204558 "a" 0.000228907380656311
"85" 1441 1 346061.477017383 50.5953494178299 0.221591899574027 23309.565686 197900.204558 "a" 0.000679383398824922
"86" 1442 1 351163.543318759 48.7282307469565 0.195713488907831 23310.065686 197900.204558 "a" 0.001730134947497
"87" 1443 1 356556.243291215 46.6030674682348 0.172657628324373 23310.565686 197900.204558 "a" 0.00412757466352426
"88" 1444 1 364601.960130242 42.4692953360117 0.157745942983014 23311.065686 197900.204558 "a" 0.00886458918499551
"89" 1445 1 376457.599380754 37.4422008879401 0.145358468756504 23311.565686 197900.204558 "a" 0.020939335818451
"90" 1446 1 386290.123589651 34.065337148652 0.141098855863625 23312.065686 197900.204558 "a" 0.036054438636864
"91" 1447 1 393430.168444602 31.5747245714881 0.136128248366191 23312.565686 197900.204558 "a" 0.0557832232911365
"92" 1448 1 401717.255210752 28.2806468962294 0.143520399437798 23313.065686 197900.204558 "a" 0.0655327479592511
"93" 1449 1 408888.896834841 25.389556699455 0.14635634587442 23313.565686 197900.204558 "a" 0.0822711387092949
"94" 1450 1 412150.389862061 23.3948144593742 0.147068621005791 23314.065686 197900.204558 "a" 0.0924183405461658
"95" 1451 1 415042.115053966 21.3758280520219 0.149587882621616 23314.565686 197900.204558 "a" 0.0977051050518636
"96" 1452 1 417402.689345788 20.8427782511185 0.1530598438144 23315.065686 197900.204558 "a" 0.0987289509445264
"97" 1453 1 419617.523887348 20.5377032011196 0.157036592759003 23315.565686 197900.204558 "a" 0.0979508313824216
"98" 1454 1 421671.074815775 20.3359867088399 0.1599392640944 23316.065686 197900.204558 "a" 0.0991294266021507
"99" 1455 1 424207.699104635 20.2708432496933 0.156496353899208 23316.565686 197900.204558 "a" 0.119331314866877
"100" 1456 1 426352.023297426 19.9834119119763 0.154240250923955 23317.065686 197900.204558 "a" 0.136972508790082
"101" 1457 1 428923.554240006 19.1342120159569 0.15422433624959 23317.565686 197900.204558 "a" 0.151299922769137
"102" 1458 1 429795.811999384 18.574300302779 0.157400619997329 23318.065686 197900.204558 "a" 0.14531488895227
"103" 1459 1 430249.99288406 18.058600693922 0.161646797352484 23318.565686 197900.204558 "a" 0.133861948993775
"104" 1460 1 430207.195005822 17.9661044661632 0.164811854444029 23319.065686 197900.204558 "a" 0.123952682520695
"105" 1461 1 429052.737065255 18.1342843065331 0.168013832527515 23319.565686 197900.204558 "a" 0.109596615805469
"106" 1462 1 427660.218461265 18.1116946767473 0.170118323430802 23320.065686 197900.204558 "a" 0.0984123760427154
"107" 1463 1 425554.301759259 18.5700925588166 0.177575457515267 23320.565686 197900.204558 "a" 0.0749323213752511
"108" 1542 1 424085.180791084 17.1645939580002 0.152908228856763 23253.565686 197899.704558 "a" 0.129386590568094
"109" 1543 1 420138.385589957 19.8415235341036 0.176153538922167 23254.065686 197899.704558 "a" 0.0618991190579191
"110" 1544 1 414075.466753278 22.964523429367 0.198496039649869 23254.565686 197899.704558 "a" 0.0265721194304806
"111" 1545 1 406880.344501357 28.0468437193653 0.230486660687484 23255.065686 197899.704558 "a" 0.00818041617780528
"112" 1546 1 398550.375219042 32.4582506988767 0.26089300973808 23255.565686 197899.704558 "a" 0.00246644406771483
"113" 1547 1 392547.201037946 35.9723597983235 0.281210240058226 23256.065686 197899.704558 "a" 0.00108274896640123
"114" 1548 1 386266.544651637 39.8217864501316 0.289763362712341 23256.565686 197899.704558 "a" 0.000646466334772105
"115" 1549 1 377725.199637528 44.3349177743669 0.300280099828525 23257.065686 197899.704558 "a" 0.000330396297494002
"116" 1550 1 369571.152757192 48.2580206174048 0.310594080093329 23257.565686 197899.704558 "a" 0.00017275550888378
"117" 1551 1 367153.667999083 51.5803732269534 0.318067447687831 23258.065686 197899.704558 "a" 0.00012636324999041
"118" 1552 1 365728.94289688 51.7877926910502 0.328473658556638 23258.565686 197899.704558 "a" 8.92208368898445e-05
"119" 1553 1 361819.153620443 52.8105158225214 0.335498357102155 23259.065686 197899.704558 "a" 6.177048596457e-05
"120" 1554 1 360448.368960808 51.7942125500387 0.351376594607339 23259.565686 197899.704558 "a" 3.76560041758218e-05
"121" 1555 1 360375.352690384 49.6168447540131 0.368383397980667 23260.065686 197899.704558 "a" 2.35987104791028e-05
"122" 1556 1 357751.590038732 51.4498518270184 0.371882575472628 23260.565686 197899.704558 "a" 1.90597763333424e-05
"123" 1557 1 356567.30647491 55.4377319328188 0.369790677095648 23261.065686 197899.704558 "a" 1.91314081118668e-05
"124" 1558 1 354350.935150199 59.0565815148891 0.371264758658443 23261.565686 197899.704558 "a" 1.66317852248894e-05
"125" 1559 1 351396.497670468 59.8728323820535 0.365936553726504 23262.065686 197899.704558 "a" 1.68384083954629e-05
"126" 1560 1 347727.24000803 61.666009297906 0.356138027783986 23262.565686 197899.704558 "a" 1.86490020519076e-05
