"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"weight_day"
"129"	"Parameters conspec-attraction 1112 10_06_2020 21_16.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	9.80174962780366
"130"	"Parameters conspec-attraction 1113 10_06_2020 21_16.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	6.33043332268405
"131"	"Parameters conspec-attraction 1114 10_06_2020 21_16.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	11.3133080785435
"132"	"Parameters conspec-attraction 1115 10_06_2020 21_16.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	13.6180292144747
"133"	"Parameters conspec-attraction 1116 10_06_2020 21_16.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	8.53036514537578
"134"	"Parameters conspec-attraction 1117 10_06_2020 21_16.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_par"	9.61155842253402
"135"	"Parameters conspec-attraction 1118 10_06_2020 21_16.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	12.9485769766092
"136"	"Parameters conspec-attraction 1119 10_06_2020 21_16.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	14.0966811413693
"137"	"Parameters conspec-attraction 112 10_06_2020 21_13.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	11.4487897585889
"138"	"Parameters conspec-attraction 1120 10_06_2020 21_16.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	10.4243513459157
"139"	"Parameters conspec-attraction 1121 10_06_2020 21_16.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	5.0045900950418
"140"	"Parameters conspec-attraction 1122 10_06_2020 21_16.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	6.79702495899456
"141"	"Parameters conspec-attraction 1123 10_06_2020 21_16.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	12.4201766101365
"142"	"Parameters conspec-attraction 1124 10_06_2020 21_16.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	10.4932081000509
"143"	"Parameters conspec-attraction 1125 10_06_2020 21_16.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	14.0250283043057
"144"	"Parameters conspec-attraction 1126 10_06_2020 21_16.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_type2"	11.5485957107696
"145"	"Parameters conspec-attraction 1127 10_06_2020 21_16.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_type2"	10.7039932561931
"146"	"Parameters conspec-attraction 1128 10_06_2020 21_17.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	11.8823323843396
