"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"choosers_on_followers"	"weight_day"
"105"	"Parameters CF 1091 21_04_2020 21_42.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.603998248750164	9.31032412515508
"106"	"Parameters CF 1092 21_04_2020 21_42.txt"	"CF"	"False"	"True"	"False"	"response_par"	0.620940991528621	7.33752386622491
"107"	"Parameters CF 1093 21_04_2020 21_42.txt"	"CF"	"False"	"False"	"True"	"response_par"	0.827352410603952	8.06786039545977
"108"	"Parameters CF 1094 21_04_2020 21_43.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.581386009313933	10.4898504909088
"109"	"Parameters CF 1095 21_04_2020 21_43.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.568184982506557	11.148974164039
"110"	"Parameters CF 1096 21_04_2020 21_43.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.581098603349752	3.89597017634358
"111"	"Parameters CF 1097 21_04_2020 21_43.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.60377836527895	13.7321568788123
"112"	"Parameters CF 1098 21_04_2020 21_44.txt"	"CF"	"False"	"False"	"True"	"response_par"	0.581809985722882	14.664416645515
"113"	"Parameters CF 1099 21_04_2020 21_44.txt"	"CF"	"False"	"True"	"True"	"response_par"	0.283759809143261	12.4138488696024
"114"	"Parameters CF 11 21_04_2020 21_20.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.646335431846297	10.5938893910032
"115"	"Parameters CF 110 21_04_2020 21_52.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.720934770573847	2.81285039161364
"116"	"Parameters CF 1100 21_04_2020 21_44.txt"	"CF"	"False"	"True"	"False"	"response_par"	0.623141975878486	8.62304915529634
"117"	"Parameters CF 1101 21_04_2020 21_45.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.792660734400012	8.3866127629202
"118"	"Parameters CF 1102 21_04_2020 21_45.txt"	"CF"	"True"	"False"	"False"	"response_par"	0.523346528729849	15.347048098411
"119"	"Parameters CF 1103 21_04_2020 21_45.txt"	"CF"	"False"	"True"	"False"	"response_par"	0.673555641966096	13.7769443219685
"120"	"Parameters CF 1104 21_04_2020 21_45.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.532044215779671	5.29410624397239
"121"	"Parameters CF 1105 21_04_2020 21_46.txt"	"CF"	"True"	"True"	"True"	"response_type2"	0.614558804435237	10.9894868321879
"122"	"Parameters CF 1106 21_04_2020 21_46.txt"	"CF"	"False"	"True"	"True"	"response_par"	0.450047582212787	3.27793582447612
"123"	"Parameters CF 1107 21_04_2020 21_46.txt"	"CF"	"True"	"True"	"True"	"response_type2"	0.678504369138366	7.10653684903658
"124"	"Parameters CF 1108 21_04_2020 21_46.txt"	"CF"	"True"	"False"	"False"	"response_par"	0.536782435412466	13.0156330363286
"125"	"Parameters CF 1109 21_04_2020 21_47.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.506202307725157	13.9383472939061
"126"	"Parameters CF 111 21_04_2020 21_52.txt"	"CF"	"False"	"True"	"True"	"response_par"	0.396567340160798	11.7896194418412
"127"	"Parameters CF 1110 21_04_2020 21_47.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.330818612950729	10.5353320484601
"128"	"Parameters CF 1111 21_04_2020 21_47.txt"	"CF"	"False"	"True"	"False"	"response_par"	0.511944883434841	4.19648181004871
"129"	"Parameters CF 1112 21_04_2020 21_47.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.372970688102773	14.0886901316532
"130"	"Parameters CF 1113 21_04_2020 21_48.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.704270389388992	7.9027767191134
"131"	"Parameters CF 1114 21_04_2020 21_48.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.661907457264527	5.23090386627713
